ID,Description,ContainedWaste,Size,submitDate,statusUpdate (H),exectime (H),ReportAnalysisTime (H) ,Status,reward,extraReward,H clear subject,H human in frame,H accurate desc,H multiple subj,totally Duplicated??,Proprietà privata?,note,View,lat,location,long,webhookproduction,webhooktest-home,webhooktest-mac-pro,pageid,Person,Picture,containedWaste_generated,size_generated,ContainedWaste_match,Size_match,Notes,multiple_subjects,accurate_description,human_in_frame,clear_subject
12.0,Frigorifero,paper,big,15/05/2025 15:22:00,16/05/2025 18:30:03,27:08:03,0:02:27,Rejected,5.0,-30.0,True,False,True,True,False,True,,https://www.openstreetmap.org/?mlat=42.0937448&mlon=13.3678778#map=18/42.0937448/13.3678778,42.0937448,"42.0937448,13.3678778",13.3678778,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781e0932ac8fe1efb034f,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781e0932ac8fe1efb034f,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781e0932ac8fe1efb034f,21f339fc006781e0932ac8fe1efb034f,Adam Chatbi (https://www.notion.so/Adam-Chatbi-1f2339fc00678125a5cdcbc1410a1ec3?pvs=21),"https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/a6d1e13d-1a18-4fe5-9b3f-f687b18c8b46.jpeg, https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/8329ab4b-3f5b-412b-9d21-5843110367ca.jpeg","plastic, paper",medium,INCOMPLETE,WRONG,"La dimensione è medium perché le immagini contengono sia rifiuti plastici che rifiuti di carta, e i rifiuti presenti in queste immagini sono stati classificati come medium. La descrizione dell'utente non coincide con i rifiuti visibili nelle immagini.",TRUE,FALSE,FALSE,TRUE
14.0,Rifiuti vafi,electronic appareil,small,15/05/2025 17:48:00,16/05/2025 18:33:43,24:45:43,0:01:40,Confirmed,10.0,-5.0,True,False,False,True,False,False,Foto non accurate e descrizione scarna,https://www.openstreetmap.org/?mlat=42.1093166&mlon=13.3925891#map=18/42.1093166/13.3925891,42.1093166,"42.1093166,13.3925891",13.3925891,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781d181bee0fa7e277c46,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781d181bee0fa7e277c46,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781d181bee0fa7e277c46,21f339fc006781d181bee0fa7e277c46,Cristiano Prigenzi (https://www.notion.so/Cristiano-Prigenzi-1f2339fc006781bcbc8af57847402a62?pvs=21),"https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/b792a8d2-eba4-40e9-a27c-6eaf97dd7547.jpeg, https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/fd505c12-71b1-4458-b2c1-9049dd7a8fcf.jpeg","electronic appareil, aluminum/metal, plastic, glass, paper",small,INCOMPLETE,CORRECT,"La classificazione dell'utente è corretta in quanto le immagini mostrano un dispositivo elettronico che contiene aluminio/metallo, plastica e carta. La dimensione del rifiuto si accorda con la descrizione fornita dall'utente.",TRUE,FALSE,FALSE,TRUE
17.0,Molte patate,construction materials,medium,15/05/2025 19:45:00,16/05/2025 18:39:23,22:54:23,0:03:23,Confirmed,1.0,,True,False,True,True,False,False,,https://www.openstreetmap.org/?mlat=42.0642783&mlon=13.377225#map=18/42.0642783/13.377225,42.0642783,"42.0642783,13.377225",13.377225,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781f9aab9d12529560890,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781f9aab9d12529560890,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781f9aab9d12529560890,21f339fc006781f9aab9d12529560890,Andrea Di Battista (https://www.notion.so/Andrea-Di-Battista-1f2339fc0067818f9c0bfb17c4fe3aba?pvs=21),"https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/77776e64-3b3a-4fb6-8f37-53a17a1d0585.jpeg, https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/937b7e0d-bed6-46b6-b84a-cdb4d140befe.jpeg","plastic, paper",medium,WRONG,CORRECT,"La dimensione è stata classificata come medium perché la busta di plastica presente nell'immagine sembra essere un tipo di rifiuto di media dimensione. Inoltre, considerando l'esempio fornito dall'utente e le immagini simili recuperate dal database, si tratta di un contenitore che contiene sia materiali plastici che cartacei.",FALSE,FALSE,FALSE,TRUE
25.0,Un lavabo industriale e dei bancali di legno,paper,big,16/05/2025 13:55:00,19/05/2025 14:36:45,72:41:45,0:01:27,Confirmed,9.0,1.0,True,False,True,True,False,False,,https://www.openstreetmap.org/?mlat=42.0945769&mlon=13.3597684#map=18/42.0945769/13.3597684,42.0945769,"42.0945769,13.3597684",13.3597684,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678198bb60f544e5cd3a96,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678198bb60f544e5cd3a96,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678198bb60f544e5cd3a96,21f339fc00678198bb60f544e5cd3a96,Andrea Di Battista (https://www.notion.so/Andrea-Di-Battista-1f2339fc0067818f9c0bfb17c4fe3aba?pvs=21),https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/a7b49a9f-3ebe-46a3-b509-b68bd3db87f5.jpeg,"plastic, wood",medium,WRONG,WRONG,La classificazione dell'utente 'paper' non è corretta in quanto le immagini mostrano rifiuti identificabili come plastica e legno. La dimensione degli oggetti nell'immagine è media. Ci sono più soggetti distinti nelle immagini e la descrizione dell'utente non riflette accuratamente i rifiuti presenti.,TRUE,FALSE,FALSE,TRUE
33.0,Pezzo di divano,paper,medium,16/05/2025 18:20:00,19/05/2025 14:54:43,68:34:43,0:01:17,Rejected,8.0,-20.0,True,False,True,True,False,True,"Tipo di rifiuto inaccurato, edificio privato con divieto di ingresso.",https://www.openstreetmap.org/?mlat=42.0937191&mlon=13.3680408#map=18/42.0937191/13.3680408,42.0937191,"42.0937191,13.3680408",13.3680408,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc0067810cb2a6c338f70ebdde,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc0067810cb2a6c338f70ebdde,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc0067810cb2a6c338f70ebdde,21f339fc0067810cb2a6c338f70ebdde,Adam Chatbi (https://www.notion.so/Adam-Chatbi-1f2339fc00678125a5cdcbc1410a1ec3?pvs=21),https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/a7560a83-5135-45bc-a06b-7d753173ff16.jpeg,,,WRONG,WRONG,,,,,
62.0,Sacchi neri,textiles,medium,17/05/2025 15:33:00,20/05/2025 09:17:27,65:44:27,0:02:08,Confirmed,4.0,,True,False,True,True,False,False,,https://www.openstreetmap.org/?mlat=42.0937318&mlon=13.3680715#map=18/42.0937318/13.3680715,42.0937318,"42.0937318,13.3680715",13.3680715,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781c18b6ec8ecde42c661,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781c18b6ec8ecde42c661,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781c18b6ec8ecde42c661,21f339fc006781c18b6ec8ecde42c661,Adam Chatbi (https://www.notion.so/Adam-Chatbi-1f2339fc00678125a5cdcbc1410a1ec3?pvs=21),https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/f8e378ac-b543-4fd9-8dcc-567796b019ec.jpeg,textiles,medium,CORRECT,CORRECT,"L'utente ha correttamente identificato la presenza di sacchi neri come contenitore principale, che sono considerati rifiuti textili. La dimensione delle immagini è stata classificata come medium dall'utente e confermata dalle immagini simili nel database.",TRUE,TRUE,FALSE,TRUE
63.0,Contenitore con spazzatura dentro,glass,medium,17/05/2025 15:35:00,20/05/2025 09:19:35,65:44:35,0:01:27,Confirmed,1.0,20.0,True,False,True,True,False,False,,https://www.openstreetmap.org/?mlat=42.102398145691936&mlon=13.358426681149789#map=18/42.102398145691936/13.358426681149789,42.10239815,"42.102398145691936,13.358426681149789",13.35842668,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678164b356d2d565a7e4da,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678164b356d2d565a7e4da,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678164b356d2d565a7e4da,21f339fc00678164b356d2d565a7e4da,Aurora Di Carlo (https://www.notion.so/Aurora-Di-Carlo-1f2339fc006781f0bf61de196503663d?pvs=21),"https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/4585c9b7-a569-4dcf-a410-973e22883350.jpeg, https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/0f2b86b8-bab3-4b1f-b79e-779d3bf75efc.jpeg","plastic, paper",medium,WRONG,CORRECT,"La classificazione dell'utente con il contenitore di spazzatura è corretta ma la dimensione è considerata piccola perché la busta di plastica è la principale componente visibile nella foto. Tuttavia, l'accuratezza della descrizione non è corretta poiché anche se ci sono altri materiali come il legno e i metalli, non si può considerare il contenitore di spazzatura come un soggetto separato.",TRUE,FALSE,FALSE,TRUE
67.0,Cavi e rete,bulky waste,medium,17/05/2025 15:45:00,20/05/2025 09:28:05,65:43:05,0:02:25,Confirmed,1.0,10.0,True,False,True,True,False,False,,https://www.openstreetmap.org/?mlat=42.09068711534003&mlon=13.36502315339063#map=18/42.09068711534003/13.36502315339063,42.09068712,"42.09068711534003,13.36502315339063",13.36502315,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781f2b594dbc20a705a34,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781f2b594dbc20a705a34,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc006781f2b594dbc20a705a34,21f339fc006781f2b594dbc20a705a34,Aurora Di Carlo (https://www.notion.so/Aurora-Di-Carlo-1f2339fc006781f0bf61de196503663d?pvs=21),"https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/d50ddb8c-757d-4005-995e-1cefab9da150.jpeg, https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/2fc1ca33-255f-4a2f-8ae0-8fbc0c7b2b5a.jpeg",other,big,WRONG,WRONG,Spero che questo riferimento sia utile per il tuo lavoro. La classificazione degli altri rifiuti sembra essere accurata. Tieni presente che le dimensioni sono soggettive e possono variare a seconda dell'osservatore. Grazie per la tua collaborazione.,TRUE,TRUE,FALSE,TRUE
68.0,Carta,plastic,small,17/05/2025 15:49:00,20/05/2025 09:30:30,65:41:30,0:03:23,Rejected,3.0,,True,False,True,False,True,False,Segnalazione doppia,https://www.openstreetmap.org/?mlat=42.09188&mlon=13.3617783#map=18/42.09188/13.3617783,42.09188,"42.09188,13.3617783",13.3617783,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678116bc82caea69d369ec,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678116bc82caea69d369ec,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc00678116bc82caea69d369ec,21f339fc00678116bc82caea69d369ec,Adam Chatbi (https://www.notion.so/Adam-Chatbi-1f2339fc00678125a5cdcbc1410a1ec3?pvs=21),https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/1348395f-a592-4c81-bc7c-3c690125fcff.jpeg,"plastic, paper",small,INCOMPLETE,CORRECT,"La classificazione della dimensione come small si basa sulle dimensioni visibili delle sacchette di plastica e dei rifiuti contenuti, che non superano la dimensione medio-piccola. La ContainedWaste include entrambi i materiali presenti nelle immagini.",TRUE,FALSE,FALSE,TRUE
75.0,Carta,glass,medium,17/05/2025 16:11:00,20/05/2025 09:48:17,65:37:17,0:01:33,Rejected,3.0,,True,False,True,True,False,False,,https://www.openstreetmap.org/?mlat=42.0916942&mlon=13.363689#map=18/42.0916942/13.363689,42.0916942,"42.0916942,13.363689",13.363689,https://iovino.app.n8n.cloud/webhook/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc0067812dafeffcdef7744e36,http://localhost:5678/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc0067812dafeffcdef7744e36,https://vbbcgg2rr0gr4kck53r23t2s.hooks.n8n.cloud/webhook-test/1e13220a-0e4b-4425-a01b-9e65b8518a8f?pageid=21f339fc0067812dafeffcdef7744e36,21f339fc0067812dafeffcdef7744e36,Adam Chatbi (https://www.notion.so/Adam-Chatbi-1f2339fc00678125a5cdcbc1410a1ec3?pvs=21),https://utilize-app-prod-files.s3.amazonaws.com/notion-apps/678e236afe4f2ed4d665bccf/a28cf955-fd56-4e20-80c9-a0e0c7a40ce5.jpeg,"aluminum/metal, paper",medium,WRONG,CORRECT,La classificazione dell'utente 'glass' non sembra appropriata per le immagini analizzate in quanto non ci sono rifiuti di vetro. Le immagini mostrano principalmente carta e metallo/alluminio. La dimensione del rifiuto è correttamente identificata come 'medium'.,TRUE,FALSE,FALSE,TRUE
